                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76309,                0.67395,                 1.1734,                0.78179,                0.66669,                0.74515,                0.45425,                 1.5939,                 1.3706,                  2.154,             0.00082925,             0.00082925,             0.00082925
                     36,                0.74566,                0.68612,                 1.1897,                0.83409,                0.77148,                0.82546,                0.47061,                 1.5977,                 1.1939,                 2.1269,             0.00081688,             0.00081688,             0.00081688
                     37,                0.80215,                0.67703,                 1.1825,                0.78215,                0.74787,                0.78875,                0.45475,                 1.6327,                 1.1521,                 2.1567,              0.0008045,              0.0008045,              0.0008045
                     38,                0.79602,                0.66846,                 1.1526,                0.83861,                0.74011,                0.81999,                0.47413,                 1.6132,                 1.0776,                 2.0654,             0.00079213,             0.00079213,             0.00079213
                     39,                0.75359,                 0.6397,                 1.1402,                0.85132,                0.74334,                0.82105,                0.51222,                 1.5177,                 1.0846,                 2.0372,             0.00077975,             0.00077975,             0.00077975
                     40,                 0.7385,                0.64666,                 1.1284,                0.75203,                0.76361,                0.79287,                0.48162,                 1.6075,                  1.162,                 2.0848,             0.00076738,             0.00076738,             0.00076738
                     41,                0.77329,                0.63649,                 1.1608,                0.87484,                0.72513,                0.81343,                0.49743,                 1.5977,                 1.1832,                 2.0995,               0.000755,               0.000755,               0.000755
                     42,                0.73662,                0.61847,                 1.1302,                0.74802,                 0.7923,                0.79053,                0.48242,                 1.5424,                 1.1012,                 2.0135,             0.00074263,             0.00074263,             0.00074263
                     43,                0.74053,                0.64447,                 1.1691,                0.77401,                0.72573,                0.77344,                0.44282,                 1.6487,                 1.1879,                 2.1869,             0.00073025,             0.00073025,             0.00073025
                     44,                0.69426,                0.60274,                 1.1293,                0.75115,                0.74279,                0.78139,                0.47395,                 1.5747,                 1.1933,                 2.0525,             0.00071788,             0.00071788,             0.00071788
                     45,                  0.761,                0.61386,                 1.1355,                0.85032,                 0.7679,                0.82847,                0.51951,                 1.5254,                 1.0655,                 2.0451,              0.0007055,              0.0007055,              0.0007055
                     46,                0.72429,                0.61077,                 1.1561,                0.81099,                0.78747,                0.83295,                0.51377,                  1.524,                 1.0286,                 2.0786,             0.00069313,             0.00069313,             0.00069313
                     47,                0.72165,                 0.6122,                 1.1482,                0.76259,                0.77695,                0.81377,                0.49765,                 1.5588,                 1.0884,                 2.0804,             0.00068075,             0.00068075,             0.00068075
                     48,                0.69466,                0.59991,                 1.1234,                0.82846,                0.74535,                0.82191,                0.49843,                 1.5842,                 1.0497,                  2.148,             0.00066838,             0.00066838,             0.00066838
